"date","ConstrProd","IP","ConstrNO","INO","ConstrTurn","ITurn","RetTurn","CPI","CPIEN","PPI","PPIEN","EPI","IPI","HW","ConstrHW","Empl","GWMan","GWConstr","CDAX","Bond1","Bond5","Bond10","EERN","EERB","TotalDebt","BankDebt","CorpDebt","PublicDebt","ifoIndTradeClimate","ifoIndTradeCurrent","ifoIndTradeExp","GfKBCE","GfKIE","GfKWtB","GfKCCI","ESI"
"Transform:",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2
"1/1/1991",126.4,84.5,144.9,73,13277812,69.1,NA,68.6,71.1,77.6,83,86.3,86.1,172.53,149476,39214,92.06,4049275,152.63,8.97,8.98,8.61,NA,NA,9.1,9.2,9.35,9.1,9.9,18.1,2.1,NA,NA,NA,NA,106.5
"2/1/1991",101.5,83.5,148.8,69.8,12482908,67.9,NA,68.7,71.4,77.7,83.1,86.2,85.4,171.7,120742,39110,92.47,3499918,165.33,8.69,8.57,8.31,NA,NA,8.7,8.8,9.07,8.6,10.2,20.1,0.8,NA,NA,NA,NA,104
"3/1/1991",117.4,83,155,71,12989146,68,NA,68.7,71.6,77.6,83.3,86.3,85.8,169.54,136166,38979,92.41,4148855,163.26,8.77,8.71,8.47,NA,NA,8.6,8.7,8.74,8.5,7.3,14.3,0.5,NA,NA,NA,NA,100.1
"4/1/1991",116.3,82.3,152.3,69.3,13487381,67.7,NA,69.1,71.9,78.2,83.6,86.7,86.7,166.58,134040,38977,93.33,4249428,173.2,8.87,8.63,8.24,NA,NA,8.6,8.7,8.71,8.5,7.4,12.6,2.3,NA,NA,NA,NA,100.4
"5/1/1991",114.9,81,155.4,68.8,13811988,67.5,NA,69.2,72.1,78.3,83.6,86.6,86.6,165.18,132500,38943,96.23,4220913,179.18,8.69,8.47,8.19,NA,NA,8.6,8.7,8.66,8.5,4.9,7.5,2.3,NA,NA,NA,NA,100.5
"6/1/1991",115.1,84.4,159.5,69.9,13939151,68.9,NA,69.7,72.3,78.4,83.8,86.7,86.9,165.87,131354,38828,97.14,4255082,174.69,8.85,8.73,8.41,NA,NA,8.6,8.7,8.58,8.5,4.8,9.9,-0.1,NA,NA,NA,NA,100.2
"7/1/1991",116.1,82.1,159.3,68.2,14186930,67.8,NA,70.3,72.8,79,84,86.9,87,163.57,132392,38711,94.45,4246441,171.58,9.11,8.97,8.61,NA,NA,8.9,9,9.28,8.8,3.5,7.3,-0.3,NA,NA,NA,NA,95.7
"8/1/1991",115.2,80.8,163.1,71.9,13979811,67,NA,70.6,73,79,84.1,86.8,86.7,161.61,131033,38560,94.99,4219120,173.62,8.84,8.75,8.31,NA,NA,8.9,9.1,9.02,8.8,2.3,4.6,0.1,NA,NA,NA,NA,94.3
"9/1/1991",116.6,80.5,172.4,68.3,14162845,67.4,NA,70.7,73,79.3,84.2,86.8,86,161.3,132143,38521,94.4,4326721,168.73,8.84,8.75,8.26,NA,NA,8.8,8.9,8.94,8.7,2,4.2,-0.1,NA,NA,NA,NA,94.8
"10/1/1991",117.8,81.8,162.3,69.7,14263567,68.9,NA,72,74.4,79.2,84.3,86.8,86.1,159.71,132801,38546,94.56,4420540,165,9.05,8.73,8.23,NA,NA,8.7,8.9,8.91,8.6,2.7,4.5,0.9,NA,NA,NA,NA,95.8
"11/1/1991",119.9,82.6,162.8,70.9,14751846,70.5,NA,72.3,74.6,79.3,84.3,86.8,85.8,160.16,135253,38558,94.39,4499530,163.01,9.07,8.68,8.12,NA,NA,8.7,8.9,8.91,8.6,2.7,3.8,1.6,NA,NA,NA,NA,94.6
"12/1/1991",120.5,82.7,156.9,71.7,14295861,68.9,NA,72.3,74.7,79.3,84.3,86.7,84.8,157.16,136019,38537,94.43,4341394,161.59,9.01,8.46,7.91,NA,NA,8.7,8.8,8.88,8.5,0.5,2.2,-1.1,NA,NA,NA,NA,95.2
"1/1/1992",125.2,83.7,164.9,71,14813323,69.7,NA,72.5,75.2,78.9,84.4,86.9,84.5,158.79,140893,38530,94.89,4384558,170.16,8.83,8.08,7.7,NA,NA,8.3,8.5,8.84,8.1,-2.7,-2.5,-2.9,7.9,11.5,-23.4,NA,94
"2/1/1992",133,85.1,178.5,71.2,16223581,70.3,NA,72.7,75.4,79.3,84.6,87.1,84.8,158.65,148957,38497,95.97,4618817,177.4,8.79,8.05,7.65,NA,NA,8.2,8.3,8.59,8.1,-3.4,-1.4,-5.3,6.8,10,-20.9,NA,93.2
"3/1/1992",128.8,82.7,172.3,70.6,16304627,69.3,NA,73,75.7,79.5,85,87.1,85.1,157.2,144746,38449,95.53,4712599,174.46,9,8.28,7.73,NA,NA,8.2,8.3,8.61,8.1,-6.4,-7.4,-5.4,-3.2,-0.4,-32.2,NA,90.6
"4/1/1992",126.7,82.6,169,68.5,15983488,69.5,NA,73.4,76,79.8,85.2,87.4,85,155.63,141100,38415,95.88,4513743,175.57,8.95,8.29,7.85,NA,NA,8.3,8.5,8.71,8.2,-7.5,-8.3,-6.7,-10.5,-3.6,-31.1,NA,88.6
"5/1/1992",128,82,165.7,67,16084659,69.1,NA,73.6,76.1,79.7,85.4,87.4,84.9,154.73,141807,38389,95.73,4789847,181.3,8.99,8.22,7.82,NA,NA,8.4,8.6,8.86,8.3,-8,-10.2,-5.7,-12.7,-7.4,-39.9,NA,87.5
"6/1/1992",126.7,80.8,170.3,65.5,15925320,68.4,NA,73.8,76.6,80,85.6,87.4,84.6,152.36,139827,38345,96.71,4746883,175.51,9.08,8.34,7.92,NA,NA,8.4,8.6,9.14,8.3,-9.7,-12.4,-7,-8.5,-1.8,-40.3,NA,88.7
"7/1/1992",123.2,79.2,162.7,64,15779143,67,NA,73.9,76.7,79.8,85.6,87.3,84,150.12,135583,38288,98.66,4793911,161.84,9.31,8.47,7.96,NA,NA,8.5,8.7,9.25,8.3,-11.5,-15.7,-7.3,-2,2.1,-31,NA,89.1
"8/1/1992",127.5,79.6,161,64.7,16448363,67.2,NA,74,76.7,79.8,85.7,87.2,83.4,151.09,139734,38212,97.06,4726443,152.65,9.47,8.32,7.87,NA,NA,8.6,8.8,9.34,8.4,-18.2,-18.6,-17.8,-1.1,4.9,-19.6,NA,85.3
"9/1/1992",127.2,78.8,163.6,65.1,16249971,67.9,NA,74.1,76.9,79.7,85.7,87.1,82.9,148.92,138986,38141,96.54,4817015,146.68,8.29,7.77,7.46,NA,NA,8.2,8.4,9.03,8,-19.1,-18.9,-19.2,-11.7,-4.9,-30,NA,82.2
"10/1/1992",125.1,78.7,166.3,61.4,16269383,66.7,NA,74.5,77.3,79.6,85.5,87,83,148.24,136021,38082,96.01,4790256,148.54,7.72,7.26,7.24,NA,NA,7.6,7.8,8.5,7.4,-25.3,-23.6,-27,-13.8,-6.1,-31.5,NA,78.2
"11/1/1992",127.7,77.5,166.1,62,16415277,66.3,NA,74.7,77.5,79.7,85.6,87.1,83.3,146.04,138432,38035,95.91,5140680,151.53,7.6,7.21,7.17,NA,NA,7.4,7.6,8.25,7.3,-28.2,-27.9,-28.5,-24.4,-11.5,-20.3,NA,74.2
"12/1/1992",137,76.2,183.5,63.4,19226491,67.2,NA,74.7,77.6,79.7,85.6,87.1,83.2,144.64,147799,38005,95.2,4941185,151.26,7.58,6.96,7.06,NA,NA,7.4,7.5,7.86,7.3,-26,-26,-26.1,-28.3,-19.6,-18.3,NA,74.8
"1/1/1993",128.1,75.4,173.1,62.3,16774293,63.9,NA,75.8,78.7,79.6,85.6,87.1,83,142.69,138722,38004,93.68,4788088,154.62,7.32,6.84,6.96,100.0106,74.6656,7.1,7.2,7.47,7,-27.7,-33.3,-21.9,-31.5,-21.2,-37.7,NA,74.7
"2/1/1993",128.1,74.3,169,60.5,15742185,63.8,NA,76.2,79.1,79.8,85.6,87.1,83.1,139.07,138081,37976,92.52,4856657,164.32,6.81,6.32,6.69,99.3728,74.8543,6.9,7,7.4,6.8,-31.3,-37.9,-24.3,-31,-17.1,-39.3,NA,74.7
"3/1/1993",132.8,74.3,175.7,59.2,16465458,63.7,NA,76.3,79.3,79.8,85.5,87.1,83.2,138.31,143204,37922,91.73,5015745,167.11,6.55,6.32,6.75,98.2208,74.6934,6.5,6.6,7.04,6.4,-28.5,-37.9,-18.4,-33.2,-23,-39.7,NA,73.9
"4/1/1993",132.4,73.7,172.8,59.4,16904616,63.7,NA,76.7,79.7,79.6,85.6,87.1,82.6,137.29,142598,37867,92.26,5043297,163.54,6.75,6.45,6.82,99.0217,76.2711,6.6,6.7,7,6.5,-28.7,-36.3,-20.7,-25.1,-11.4,-30.1,NA,74.9
"5/1/1993",133.1,73.7,168.7,60.7,16864554,62.7,NA,76.7,79.8,79.6,85.4,87.1,82.4,135.99,143081,37794,91.28,5060248,164.56,6.66,6.5,6.89,98.7281,76.7335,6.7,6.8,7.06,6.6,-30.2,-39.2,-20.8,-26.6,-8.4,-32.3,NA,75.1
"6/1/1993",131.4,73.2,169,59.8,17017491,62.5,NA,77.1,80.1,79.6,85.4,87.2,82.7,134.23,141281,37763,91.45,5095452,168.64,6.59,6.33,6.73,97.0918,76.1411,6.7,6.8,7.15,6.6,-28.6,-39.5,-16.9,-26.8,-17.7,-38.4,NA,75.8
"7/1/1993",129.3,71.5,178.6,60.5,17059080,62,NA,77.2,80.3,79.7,85.6,87.4,83.4,133.57,139451,37727,92.68,5109879,178.74,6.29,6.17,6.59,94.3713,74.2389,6.5,6.6,7.06,6.4,-27.4,-39.6,-14.3,-24.9,-20.6,-38.1,NA,74.3
"8/1/1993",134.8,74.7,174.7,60.2,17059425,64,NA,77.4,80.6,79.7,85.6,87.3,83.1,135.04,144429,37701,91.33,5105080,191.32,5.96,5.89,6.25,93.9615,74.1853,6.3,6.4,6.73,6.2,-23.7,-35.7,-10.8,-21.9,-19.4,-29,NA,77.6
"9/1/1993",133,74.3,170.1,62.6,17134346,63.7,NA,77.4,80.7,79.4,85.4,87.1,82.1,132.97,142757,37692,91.39,5154911,188.41,5.93,5.77,6.24,96.809,76.9013,6.1,6.1,6.64,6,-23.6,-35.9,-10.2,-17.9,-19.2,-25.4,NA,78.8
"10/1/1993",134.6,74.3,186.6,61.9,17371045,63.3,NA,77.7,80.9,79.4,85.3,87.2,82.2,132.82,144380,37658,91.41,5188897,203.69,5.66,5.47,6.02,96.4323,77.2096,5.9,6,6.41,5.8,-22.8,-36.5,-8,-23.7,-23.2,-28.8,NA,77.8
"11/1/1993",125.5,73.6,186.5,61.9,17084015,63,NA,77.8,81,79.5,85.4,87.3,82.6,131.3,134542,37642,90.59,5334343,202.97,5.38,5.35,6,94.6694,76.1756,5.7,5.8,6.32,5.6,-21.3,-33.3,-8.5,-26.5,-25.6,-27.1,NA,80.1
"12/1/1993",128.9,74.5,180.5,64.2,17275617,64.6,NA,77.8,81,79.6,85.5,87.6,82.7,132.03,138341,37671,91.45,5000359,218.66,5.29,5.16,5.84,94.4796,76.6562,5.6,5.6,6.21,5.5,-19.6,-33.1,-5,-23.7,-26.7,-29.7,NA,80.9
"1/1/1994",143.1,74.3,200.8,61.2,18320842,63.1,104.9,78.3,81.3,79.7,85.4,87.7,82.9,130.84,153155,37748,90.87,5417174,213.17,5.23,5.25,5.91,95.0498,77.4398,5.5,5.6,6.31,5.5,-19.8,-34.4,-3.9,-23.7,-26,-28.2,NA,81.8
"2/1/1994",132,75.3,185.3,63.2,18597484,63.8,103.6,78.4,81.5,79.8,85.5,87.7,83,130.17,140046,37777,89.22,5193359,206.6,5.58,5.86,6.49,95.2292,78.5106,5.8,5.8,6.41,5.8,-14.7,-27.9,-0.4,-20.3,-25.2,-30.9,NA,83.7
"3/1/1994",149.3,75,188.9,65.3,18592895,64.2,103.6,78.6,81.7,79.9,85.6,87.7,82.9,129.61,158071,37757,90.36,5665628,209.74,5.47,5.99,6.67,96.7574,80.5702,6.2,6.2,6.5,6.2,-12.3,-26.9,3.5,-13.1,-23.3,-32,NA,86.2
"4/1/1994",142.3,75.8,190.5,65,18600163,64.8,103,78.8,81.9,79.8,85.6,87.7,83,130.56,150495,37716,88.51,5348102,219.94,5.37,6.29,6.98,96.928,81.9742,6.3,6.4,6.7,6.3,-8,-22.2,7.3,-3,-16.1,-21.9,NA,89.5
"5/1/1994",141.3,75.6,188.9,64.1,18499738,64.8,101.9,78.9,82,79.9,85.7,87.7,83.3,128.83,148672,37745,88.43,5415757,209.78,5.27,6.53,7.29,98.2902,83.8148,6.5,6.5,6.86,6.4,-7.6,-21.3,7.2,16,-5.2,-21.3,NA,92
"6/1/1994",143,76,183.2,65.9,18700993,65.1,102.1,79.1,82.3,79.9,85.7,87.7,83.8,128.67,149810,37756,88.77,5437502,201,5.25,6.67,7.29,99.0056,84.7889,6.9,6.9,7.03,6.9,-5.7,-19.5,9.2,37,10.5,-16.6,NA,94.6
"7/1/1994",140.8,75.7,180.8,65.5,18651756,65.4,102.6,79.3,82.5,79.9,85.8,87.8,83.6,128.02,147229,37752,88.59,5408518,210.51,5.2,6.61,7.27,100.8866,87.1558,6.8,6.8,7.13,6.7,-6.4,-19.5,7.7,33.9,7.9,-19,NA,95.2
"8/1/1994",144.2,75.8,183.6,64.9,18522129,64.9,102.7,79.6,82.7,80,85.9,87.8,83.3,127.77,150174,37798,88.92,5451445,215.99,5.38,6.94,7.54,101.1887,87.4712,7,7,7.17,6.9,-4,-14.5,7.2,30.5,12.9,-12.6,NA,96.8
"9/1/1994",143.5,76.9,181.3,67.8,18918203,67.1,104.2,79.6,82.8,79.9,86,88,83.4,127.92,149051,37841,89.45,5471647,200,5.76,7.28,7.81,101.3756,87.993,7.4,7.4,7.45,7.3,0.6,-9.9,11.7,37.3,6.4,-22.9,NA,98.5
"10/1/1994",148.8,78.3,187.1,68.4,19353435,68.2,103.3,79.6,82.8,80.1,86.1,88.3,83.7,128.27,153736,37858,89.7,5532458,203.57,5.63,7.28,7.79,102.1667,89.5318,7.5,7.5,7.58,7.4,4.1,-6.3,15,47.8,19.7,-10.5,NA,101.4
"11/1/1994",153.4,78.7,201,68.7,19784375,69,102.9,79.7,82.9,80.5,86.5,88.7,84,127.39,158035,37880,88.3,5954085,201.1,5.68,7.18,7.62,101.3578,89.187,7.4,7.5,7.49,7.3,5.3,-4.3,15.4,42.6,11.6,-22.4,NA,100.7
"12/1/1994",148.7,78.7,194.4,71.4,20659728,69.7,104.9,79.7,83,80.7,86.7,88.9,84.7,127.93,152685,37904,92.42,5767417,205.92,5.94,7.48,7.81,100.3103,88.4774,7.4,7.5,7.67,7.4,3.7,-6.1,14,33,-5.5,-23.6,NA,100.5
"1/1/1995",131.5,77.2,198,66.3,19115994,68,103,79.8,83.1,81,87.4,89.2,84.7,127.17,134986,37913,89.04,5358185,197.38,5.69,7.24,7.62,101.6519,90.3831,7.5,7.6,7.93,7.5,2.1,-6.5,11.1,32,-8,-18.7,NA,100.1
"2/1/1995",154.1,78.3,187.8,67.5,20746795,69.4,105.4,80.1,83.3,81.3,87.6,89.2,84.5,126.47,157994,37910,88.03,5947247,204.09,5.67,7.08,7.51,102.723,91.6862,7.3,7.4,7.69,7.3,3.2,-1.9,8.6,26,-6.9,-21.5,NA,99.3
"3/1/1995",146.5,77.5,181.7,67.6,20134449,69,105.7,80.2,83.5,81.5,87.8,89,83.7,125.08,150274,37940,90.7,5654870,188.5,5.07,6.65,7.48,104.4191,93.991,7.1,7.2,7.39,7.1,-2.8,-8.9,3.5,31.3,5.4,-19.5,NA,99.8
"4/1/1995",146.8,77.8,182.5,66.6,19167203,68.7,104.2,80.2,83.4,81.4,87.8,88.9,83.5,125.46,150109,37981,90.89,5505754,197.01,4.89,6.49,7.32,104.7941,94.5971,6.8,6.8,7.21,6.8,-5,-7.1,-2.8,36.3,6.6,-23.9,NA,104
"5/1/1995",145.3,78.3,175.6,68,19011653,69.4,105.2,80.4,83.7,81.4,87.8,89,83.5,125.77,148168,37929,89.37,5609251,204.66,4.56,5.99,6.93,104.4214,94.1927,6.6,6.6,7.05,6.5,-5.6,-9.4,-1.8,28.3,11.7,-25.6,NA,104.2
"6/1/1995",143.2,77.4,176.7,65.6,18995383,69.4,106.1,80.5,83.8,81.5,87.9,89.1,83.4,124.96,145925,37934,89.63,5496137,205.9,4.81,6.48,7.35,104.8996,94.6272,6.4,6.4,6.84,6.4,-8.6,-11.4,-5.7,24.8,18.9,-19.9,NA,104
"7/1/1995",143.8,77.2,180.6,67.7,18671506,68,105.1,80.5,83.9,81.3,87.9,89.2,83.1,124.62,145835,37946,89.97,5565744,216.92,4.61,6.26,7.17,106.2784,95.866,6.5,6.5,6.85,6.5,-10.9,-13.5,-8.2,22.2,16.4,-8.6,NA,104.1
"8/1/1995",142.8,76.3,177.2,64.6,18777529,68,104.4,80.7,84.1,81.4,88.1,89.5,83.6,123.54,145481,37931,90.16,5538516,217.38,4.36,6.09,7.07,105.2827,94.9217,6.4,6.4,6.72,6.4,-12.2,-15.5,-8.8,3.5,13.8,-11.1,NA,103.2
"9/1/1995",139.9,77.8,183.2,66.9,18877300,69.1,104.3,80.8,84.2,81.5,88.2,89.6,83.8,123.68,142295,37951,90.26,5424094,212.88,4.08,5.97,7.08,104.8866,94.6106,6.1,6.1,6.49,6.1,-12.1,-14.8,-9.4,3.6,10.1,-16.9,NA,102.1
"10/1/1995",141.8,75.8,175.4,64,18450456,67.6,102.9,80.8,84.4,81.5,88.2,89.3,83.3,121.54,143451,37994,90.48,5502817,208.71,4.04,5.73,6.86,106.2836,96.15,6.1,6.1,6.36,6.1,-14.2,-17.4,-10.9,-0.7,6.5,-23.6,NA,102.1
"11/1/1995",147,76.3,187.3,65.4,18735670,67.8,104.8,80.9,84.5,81.4,88.1,89.3,83.3,121.76,148754,37997,90.77,5816986,212.72,3.8,5.37,6.61,106.8019,96.8229,5.8,5.8,6.03,5.8,-14,-18.4,-9.6,-11.5,0.1,-24.5,NA,101.7
"12/1/1995",128.1,76.3,166.3,66.4,18905457,68.9,104.5,80.9,84.4,81.6,88.1,89.3,83.6,120.33,129558,38026,91.35,5350059,215.7,3.61,5.19,6.4,106.2184,96.3703,5.5,5.5,5.68,5.6,-16.5,-19.9,-12.9,-20.3,-1.5,-20.5,NA,100.1
"1/1/1996",118.8,76.6,174.3,64.7,16269716,68,104.1,80.9,84.5,80.4,88,89.3,83.8,120.42,118786,37997,91.26,5314891,231.65,3.26,5.05,6.24,106.1775,96.3774,5.3,5.3,5.6,5.3,-21,-25.9,-15.9,-26.4,-18.3,-21.7,NA,98
"2/1/1996",108.3,75.9,167,63.9,15039069,66.4,104,81.1,84.6,80.4,87.8,89.3,83.6,119.62,108420,37977,90.9,4969352,230.67,3.42,5.57,6.79,106.0635,96.4038,5.7,5.6,5.78,5.7,-20.9,-27,-14.5,-29.1,-13.7,-19.8,NA,96.3
"3/1/1996",118.2,76.1,161.8,66.4,15931078,67.4,103.3,81.3,84.7,80.3,87.8,89.4,84,119.48,117588,37915,89.45,4848900,230.6,3.4,5.6,6.81,105.7587,96.3245,5.8,5.8,6.29,5.9,-23.4,-31.8,-14.6,-26.1,-7.7,-26.8,NA,96.2
"4/1/1996",137.1,76.1,160.9,66,17619601,68.3,104.5,81.5,84.8,80.2,87.7,89.4,84.2,118.33,136101,37987,89.37,5150091,230.65,3.26,5.42,6.67,105.0272,95.7797,5.7,5.7,6.2,5.8,-20.2,-26.3,-13.8,-21.4,-14.2,-25.4,NA,95.3
"5/1/1996",139.3,76.8,167.8,66.1,18403577,68.2,104,81.6,85,80.3,87.8,89.4,84.1,118.09,137892,38072,88.91,5242605,235.52,3.42,5.52,6.81,104.2178,95.211,5.7,5.7,6.17,5.8,-20.7,-28.3,-12.8,-26.8,-14.8,-24.5,NA,95.3
"6/1/1996",143.4,77.1,171.7,67.3,18918609,68.7,103.4,81.7,85.2,80.2,87.8,89.3,83.8,117.59,141286,38010,89.22,5264111,241.12,3.65,5.78,6.9,104.6222,95.7571,5.9,5.8,6.23,6,-21.7,-30.4,-12.6,-25.7,-17,-19.9,NA,95.1
"7/1/1996",138.8,76.3,169.2,67,18627360,67.9,103.7,81.7,85.3,80.1,87.6,89,83.5,116.78,135682,37999,88.74,5276532,233.2,3.53,5.61,6.71,105.7662,96.9613,5.9,5.8,6.12,6,-18.7,-27.7,-9.2,-24.1,-21.1,-22.3,NA,96.7
"8/1/1996",140,77.3,173,67.2,19013518,68.3,104,81.8,85.2,80.1,87.6,88.8,83.3,117.2,137238,37968,89.06,5222381,239.02,3.34,5.49,6.75,106.6124,97.9232,5.7,5.6,5.98,5.7,-16.9,-26.4,-6.7,-26.4,-5.4,-5.7,NA,97.6
"9/1/1996",141.5,77.9,167.9,67.1,18690796,70.1,104.8,81.9,85.2,80.4,87.7,89,83.8,116.81,137203,37924,89.33,5178965,247.11,3.23,5.24,6.45,105.8579,97.3383,5.5,5.5,5.72,5.6,-13.4,-22.8,-3.4,-23.5,-8.4,-8.8,NA,98.6
"10/1/1996",136.5,76.9,166.1,68,18406210,69.1,102.1,82.1,85.4,80.7,87.8,89.3,84.6,115.43,131660,37910,88.48,5115647,247.19,3.3,5.17,6.39,104.9701,96.7182,5.3,5.2,5.43,5.4,-10.9,-20.5,-0.9,-22.3,-10.3,-20,NA,99.7
"11/1/1996",136,78,163.9,67.5,18790925,70.2,103.6,82.1,85.4,80.8,87.8,89.2,84.6,116.44,130953,37924,88.58,5213801,259.3,3.28,4.88,6.1,105.0634,97.1362,5.2,5.2,5.38,5.3,-12.7,-22.3,-2.6,-23.9,-10,-19.7,NA,99.1
"12/1/1996",138.4,77.9,166.2,67.3,18791034,70.5,102.5,82.1,85.6,80.9,87.9,89.4,85.3,115.2,132776,37914,88.4,5177967,263.46,3.19,4.93,6.18,103.954,96.1092,5.1,5.1,5.25,5.2,-12.6,-21.8,-2.8,-23.4,-20.5,-16.4,NA,98.8
"1/1/1997",109.5,77,153.1,68.3,16095862,69,103.8,82.6,85.9,80.9,87.8,89.7,86,114.31,106703,37830,88.17,4748045,277.59,3.15,4.8,6.15,102.4568,94.6458,5.1,5,5.18,5.1,-12.5,-23.5,-0.8,-26.5,-14.4,-7.9,NA,101
"2/1/1997",126.4,78.1,169.8,68.4,17934961,69.5,102,82.7,86.1,81,87.8,89.8,86.4,114.5,122975,37873,88.81,4942857,295.55,3.31,4.66,5.79,100.6083,92.6395,4.9,4.8,4.99,4.9,-11,-19.9,-1.7,-29,-21.8,-11.6,NA,100.3
"3/1/1997",127.5,78.9,156,70.7,18500676,71,101.6,82.6,86,80.9,87.8,90,86.5,115.11,123892,37884,87.88,4993998,310.29,3.37,5.01,6.18,99.9368,92.0094,5.1,5,5.12,5.1,-10.8,-19.6,-1.6,-28.9,-13.6,-19.5,NA,100.9
